Exam_ID,Subject,Course_Code,Year,Semester,Question_Number,Question_Text,Marks,Answer_Key
1,Business,BUS496,2021,2,1,What is GDP?,3,Gross Domestic Product.
1,Computer Science,COM303,2023,1,2,What is recursion in programming?,5,A function calling itself.
1,Physics,PHY481,2021,2,3,What is the speed of light in a vacuum?,5,3.0 × 10^8 m/s
1,Computer Science,COM185,2022,2,4,What is recursion in programming?,3,A function calling itself.
1,Mathematics,MAT121,2022,2,5,What is the derivative of x^2?,4,2x
1,Physics,PHY249,2023,2,6,What is Ohm's Law?,3,V = IR
1,Physics,PHY137,2022,2,7,What is Ohm's Law?,10,V = IR
1,Business,BUS406,2023,2,8,What is SWOT analysis?,2,"Strengths, Weaknesses, Opportunities, Threats."
1,Physics,PHY363,2022,1,9,What is the unit of force?,10,Newton (N)
1,Mathematics,MAT372,2021,2,10,What is the integral of 1/x?,2,ln|x| + C
2,Physics,PHY278,2021,1,1,State Newton's Second Law of Motion.,5,Force equals mass times acceleration (F = ma).
2,Physics,PHY290,2021,1,2,State Newton's Second Law of Motion.,5,Force equals mass times acceleration (F = ma).
2,Mathematics,MAT217,2022,2,3,Solve for x: 2x + 3 = 7,2,x = 2
2,Business,BUS234,2021,1,4,What is a market economy?,2,An economy driven by supply and demand.
2,Physics,PHY413,2021,2,5,What is the speed of light in a vacuum?,2,3.0 × 10^8 m/s
2,Business,BUS399,2021,1,6,Define supply and demand.,4,Relationship between availability and desire for a product.
2,Computer Science,COM178,2022,1,7,Define an algorithm.,2,A step-by-step procedure to solve a problem.
2,Mathematics,MAT294,2021,2,8,What is the integral of 1/x?,10,ln|x| + C
2,Computer Science,COM109,2023,1,9,What does HTML stand for?,10,HyperText Markup Language
2,Physics,PHY304,2022,2,10,What is the speed of light in a vacuum?,2,3.0 × 10^8 m/s
3,Physics,PHY119,2022,2,1,What is the unit of force?,2,Newton (N)
3,Business,BUS413,2022,1,2,What is GDP?,3,Gross Domestic Product.
3,Physics,PHY471,2022,1,3,Define kinetic energy.,4,Energy due to motion: KE = 1/2 mv²
