Subject,Year,Question,Type,Style,Level
Mathematics,2021,Solve for x: 3x - 7 = 11.,Structured,fill-in-the-blank question,High School
Mathematics,2021,Find the area of a triangle with base 6 cm and height 4 cm.,Structured,fill-in-the-blank question,High School
Mathematics,2022,Simplify: (2x² - 8) ÷ (x - 2).,Structured,fill-in-the-blank question,High School
Mathematics,2023,A car travels 240 km in 3 hours. Find its average speed.,Structured,fill-in-the-blank question,High School
Mathematics,2024,Differentiate y = 3x³ - 2x² + 5x.,Structured,fill-in-the-blank question,High School
English,2021,"""Rewrite: 'She completed the work","and so did he.' beginning with 'Both...'""",Structured,High School
English,2021,Explain the meaning of the idiom: 'To spill the beans.',Structured,fill-in-the-blank question,High School
English,2022,Write a composition on the topic: 'A blessing in disguise.',Essay,fill-in-the-blank question,High School
English,2023,Identify and correct the error: 'He don’t like football.',Structured,fill-in-the-blank question,High School
English,2024,Give one function of a relative pronoun in a sentence.,Structured,fill-in-the-blank question,High School
Kiswahili,2021,Andika sentensi kwa kutumia neno 'barabara'.,Structured,fill-in-the-blank question,High School
Kiswahili,2021,Tafsiri: 'Education is important.' kwa Kiswahili.,Structured,fill-in-the-blank question,High School
Kiswahili,2022,Eleza maana ya msemo: 'Kuku mgeni hakosi kamba mguuni.',Structured,fill-in-the-blank question,High School
Kiswahili,2023,Andika insha: 'Jukumu langu katika jamii.',Essay,fill-in-the-blank question,High School
Kiswahili,2024,Tambua kivumishi katika sentensi: 'Mtoto mzuri alicheza.',Structured,fill-in-the-blank question,High School
Biology,2021,State two functions of the cell membrane.,Structured,fill-in-the-blank question,High School
Biology,2021,Name the organelle responsible for photosynthesis.,Structured,fill-in-the-blank question,High School
Biology,2022,Explain how temperature affects enzyme activity.,Structured,fill-in-the-blank question,High School
Biology,2023,Describe the process of mitosis.,Essay,fill-in-the-blank question,High School
Biology,2024,State one difference between arteries and veins.,Structured,fill-in-the-blank question,High School
Chemistry,2021,Define an acid according to the Bronsted-Lowry theory.,Structured,fill-in-the-blank question,High School
Chemistry,2021,Write the chemical equation for the reaction between sodium and water.,Structured,fill-in-the-blank question,High School
Chemistry,2022,Explain why graphite conducts electricity but diamond does not.,Essay,fill-in-the-blank question,High School
Chemistry,2023,State one use of chlorine gas.,Structured,fill-in-the-blank question,High School
Chemistry,2024,Name the process used to separate ethanol and water.,Structured,fill-in-the-blank question,High School
Physics,2021,Define velocity.,Structured,fill-in-the-blank question,High School
Physics,2022,Explain why a stone thrown upwards eventually falls back to the ground.,Structured,fill-in-the-blank question,High School
Physics,2023,State Newton’s third law of motion.,Structured,fill-in-the-blank question,High School
Physics,2024,Name the type of mirror used by drivers to view wide areas behind them.,Structured,fill-in-the-blank question,High School
Geography,2021,Name two types of volcanic mountains.,Structured,fill-in-the-blank question,High School
Geography,2021,State three factors influencing climate.,Structured,fill-in-the-blank question,High School
Geography,2022,Explain three effects of soil erosion.,Essay,fill-in-the-blank question,High School
Geography,2023,List two uses of a topographical map.,Structured,fill-in-the-blank question,High School
Geography,2024,Define the term 'river rejuvenation.',Structured,fill-in-the-blank question,High School
History,2021,State two reasons for the migration of the Luo into Kenya.,Structured,fill-in-the-blank question,High School
History,2021,Identify one result of the coming of Europeans to Africa.,Structured,fill-in-the-blank question,High School
History,2022,Explain three causes of the Maji Maji rebellion.,Essay,fill-in-the-blank question,High School
History,2023,Mention two roles of the council of elders among the Kikuyu.,Structured,fill-in-the-blank question,High School
History,2024,State one effect of nationalism in Africa.,Structured,fill-in-the-blank question,High School
CRE,2021,State two attributes of God from the creation stories.,Structured,fill-in-the-blank question,High School
CRE,2021,Explain the meaning of faith according to Hebrews 11:1.,Structured,fill-in-the-blank question,High School
CRE,2022,Describe three teachings of Jesus on prayer.,Essay,fill-in-the-blank question,High School
CRE,2023,State two ways Christians can show love to others.,Structured,fill-in-the-blank question,High School
CRE,2024,Mention one reason why Christians read the Bible.,Structured,fill-in-the-blank question,High School
Business Studies,2021,Define entrepreneurship.,Structured,fill-in-the-blank question,High School
Business Studies,2021,State two types of business resources.,Structured,fill-in-the-blank question,High School
Business Studies,2022,Explain three functions of a wholesaler.,Essay,fill-in-the-blank question,High School
Business Studies,2023,List two forms of business ownership.,Structured,fill-in-the-blank question,High School
Business Studies,2024,State one advantage of using e-commerce.,Structured,fill-in-the-blank question,High School
Agriculture,2021,State two methods of soil conservation.,Structured,fill-in-the-blank question,High School
Agriculture,2021,Name one example of a leguminous crop.,Structured,fill-in-the-blank question,High School
Agriculture,2022,Explain three advantages of crop rotation.,Essay,fill-in-the-blank question,High School
Agriculture,2023,List two causes of infertility in female animals.,Structured,fill-in-the-blank question,High School
