High School
Subject,Year,Question,Type,Style

Mathematics,2021,Solve for x: 3x - 7 = 11.,Structured,fill-in-the-blank question
Mathematics,2021,Find the area of a triangle with base 6 cm and height 4 cm.,Structured,fill-in-the-blank question
Mathematics,2022,Simplify: (2x² - 8) ÷ (x - 2).,Structured, fill-in-the-blank question
Mathematics,2023,A car travels 240 km in 3 hours. Find its average speed.,Structured, fill-in-the-blank question
Mathematics,2024,Differentiate y = 3x³ - 2x² + 5x.,Structured, fill-in-the-blank question
English,2021,"Rewrite: 'She completed the work, and so did he.' beginning with 'Both...'",Structured, fill-in-the-blank question
English,2021,Explain the meaning of the idiom: 'To spill the beans.',Structured, fill-in-the-blank question
English,2022,Write a composition on the topic: 'A blessing in disguise.',Essay, fill-in-the-blank question
English,2023,Identify and correct the error: 'He don’t like football.',Structured, fill-in-the-blank question
English,2024,Give one function of a relative pronoun in a sentence.,Structured, fill-in-the-blank question
Kiswahili,2021,Andika sentensi kwa kutumia neno 'barabara'.,Structured, fill-in-the-blank question
Kiswahili,2021,Tafsiri: 'Education is important.' kwa Kiswahili.,Structured, fill-in-the-blank question
Kiswahili,2022,Eleza maana ya msemo: 'Kuku mgeni hakosi kamba mguuni.',Structured, fill-in-the-blank question
Kiswahili,2023,Andika insha: 'Jukumu langu katika jamii.',Essay, fill-in-the-blank question
Kiswahili,2024,Tambua kivumishi katika sentensi: 'Mtoto mzuri alicheza.',Structured, fill-in-the-blank question
Biology,2021,State two functions of the cell membrane.,Structured, fill-in-the-blank question
Biology,2021,Name the organelle responsible for photosynthesis.,Structured, fill-in-the-blank question
Biology,2022,Explain how temperature affects enzyme activity.,Structured, fill-in-the-blank question
Biology,2023,Describe the process of mitosis.,Essay, fill-in-the-blank question
Biology,2024,State one difference between arteries and veins.,Structured, fill-in-the-blank question
Chemistry,2021,Define an acid according to the Bronsted-Lowry theory.,Structured, fill-in-the-blank question
Chemistry,2021,Write the chemical equation for the reaction between sodium and water.,Structured, fill-in-the-blank question
Chemistry,2022,Explain why graphite conducts electricity but diamond does not.,Essay, fill-in-the-blank question
Chemistry,2023,State one use of chlorine gas.,Structured, fill-in-the-blank question
Chemistry,2024,Name the process used to separate ethanol and water.,Structured, fill-in-the-blank question
Physics,2021,Define velocity.,Structured, fill-in-the-blank question
Physics,2021,A body moves 20 m in 4 s. Calculate its speed.,Structured
Physics,2022,Explain why a stone thrown upwards eventually falls back to the ground.,Structured, fill-in-the-blank question
Physics,2023,State Newton’s third law of motion.,Structured, fill-in-the-blank question
Physics,2024,Name the type of mirror used by drivers to view wide areas behind them.,Structured, fill-in-the-blank question
Geography,2021,Name two types of volcanic mountains.,Structured, fill-in-the-blank question
Geography,2021,State three factors influencing climate.,Structured, fill-in-the-blank question
Geography,2022,Explain three effects of soil erosion.,Essay, fill-in-the-blank question
Geography,2023,List two uses of a topographical map.,Structured, fill-in-the-blank question
Geography,2024,Define the term 'river rejuvenation.',Structured, fill-in-the-blank question
History,2021,State two reasons for the migration of the Luo into Kenya.,Structured, fill-in-the-blank question
History,2021,Identify one result of the coming of Europeans to Africa.,Structured, fill-in-the-blank question
History,2022,Explain three causes of the Maji Maji rebellion.,Essay, fill-in-the-blank question
History,2023,Mention two roles of the council of elders among the Kikuyu.,Structured, fill-in-the-blank question
History,2024,State one effect of nationalism in Africa.,Structured, fill-in-the-blank question
CRE,2021,State two attributes of God from the creation stories.,Structured, fill-in-the-blank question
CRE,2021,Explain the meaning of faith according to Hebrews 11:1.,Structured, fill-in-the-blank question
CRE,2022,Describe three teachings of Jesus on prayer.,Essay, fill-in-the-blank question
CRE,2023,State two ways Christians can show love to others.,Structured, fill-in-the-blank question
CRE,2024,Mention one reason why Christians read the Bible.,Structured, fill-in-the-blank question
Business Studies,2021,Define entrepreneurship.,Structured, fill-in-the-blank question
Business Studies,2021,State two types of business resources.,Structured, fill-in-the-blank question
Business Studies,2022,Explain three functions of a wholesaler.,Essay, fill-in-the-blank question
Business Studies,2023,List two forms of business ownership.,Structured, fill-in-the-blank question
Business Studies,2024,State one advantage of using e-commerce.,Structured, fill-in-the-blank question
Agriculture,2021,State two methods of soil conservation.,Structured, fill-in-the-blank question
Agriculture,2021,Name one example of a leguminous crop.,Structured, fill-in-the-blank question
Agriculture,2022,Explain three advantages of crop rotation.,Essay, fill-in-the-blank question
Agriculture,2023,List two causes of infertility in female animals.,Structured, fill-in-the-blank question
Agriculture,2024,Define zero grazing.,Structured, fill-in-the-blank question
Computer Studies,2021,Define the term 'software.',Structured, fill-in-the-blank question
Computer Studies,2021,State two input devices of a computer.,Structured, fill-in-the-blank question
Computer Studies,2022,Explain three characteristics of a good computer file.,Essay, fill-in-the-blank question
Computer Studies,2023,List two types of computer networks.,Structured, fill-in-the-blank question
Computer Studies,2024,State one advantage of cloud storage.,Structured, fill-in-the-blank question

University
Subject,SubjectCode,Question,Type, Style
Accounting In Business,F1, Which type of unemployment arises from a permanent reduction in demand for the products supplied by a single industry or group of industries with traditionally large workforces? A.Frictional B.Structural C.Cyclical D.Seasonal, Structured, multiple-choice question
Accounting In Business,F1, Which of the five fundamentals principles of the ACCA code of ethics and conduct imposes an obligation on members to comply with relevant laws and regulations and avoid any action that may bring discredit to the profession? This includes actions which a reasonable and informed third party, having knowledge of all relevant information, would conclude negatively affects the good reputation of the profession. A. Independence B. Objectivity C. Professional behaviour D. Professional competence and due care, Structured, multiple-choice question
Accounting In Business,F1, Which of the following is the correct sequence of the training process A. Training needs analysis, definition of learning requirements, panning training programs, defining training objectives B. Defining training objectives, planning training programs, defining learning requirements, training needs analysis C. Training needs analysis, defining learning requirements, defining training objectives, planning training programs D. Defining learning requirements, training needs analysis, defining training objectives, planning training programs,  Structured, multiple-choice question
Accounting In Business,F1, What does a decision support system (DSS) do to fulfil its function? A. Captures human expertise B. Combines data and analytical models C. Performs and records routine transactions D. Facilitates the creation and integration of new knowledge, Structured, multiple-choice question
Subject,SubjectCode,Question,Type,Style
Principle of Marketing,BBS,"QUESTION TWO  
a) Kalausi Limited is a fast-moving consumer goods company with branches in 5 locations within Kenya. Due to the recent hike in fuel prices, Kalausi has been left with no option but to commensurately increase the prices of its products. In your role as marketing manager at Kalausi you have been tasked to write a report to explain to the next senior management team THREE alternatives which the organization can employ to avert a price increase. Justify your response. (12 Marks)  
b) In your role as marketing manager at Jasiri Enterprises, a manufacturer of assorted biscuits, discuss FOUR considerations which you would make in the selection of a marketing channel. (8 Marks)",Essay,fill-in-the-blank question
Principle of Marketing,BBS,"QUESTION THREE  
You are the marketing manager of a medium sized firm manufacturing and selling glass crystal and similar giftware. During the COVID 19 pandemic times have been tough, but with a strong balance sheet you are now considering plans to enter a new market with your existing product range suitably engraved. You have decided to offer graduate giftware to students graduating from colleges and universities and have decided to commission market research. As a marketing graduate yourself, you are reflecting on your marketing information requirements for the new marketing initiative. Explain the stages you would undergo in conducting this research. (20 Marks)",Essay,fill-in-the-blank question
Principle of Marketing,BBS,"QUESTION FOUR  
Corporate responsibility (CSR) is no longer perceived as an activity that businesses halfheartedly invest their time and effort to appease an organization’s board members and impress customers. Using relevant examples, describe FIVE advantages of corporate social responsibility. (20 Marks)",Essay,fill-in-the-blank question
Principle of Marketing,BBS,"QUESTION FIVE  
The key to any successful business is knowing how to market to your audience. Discuss how Wakati Fast Foods situated in Nairobi can leverage on digital marketing to enhance the uptake of its products.",Essay,fill-in-the-blank question

Computer Organization and Architecture,BBIT/IT/FIT,"Determine the length of the memory read instruction cycle. (4 Marks)  
b. When, at the latest, should memory data be placed on the bus? Allow 20 ns for the settling of data lines. (2 Marks)  
ii) A manufacturer wishes to design a hard disk with a capacity of 30 GB or more (using the standard definition of 1GB = 2^30 bytes). If the technology used to manufacture the disks allows 1024-byte sectors, 2048 sectors/track, and 40% tracks/platter, how many platters are required? (6 Marks)  
iii) With the aid of a diagram describe the memory hierarchy (hint: size, speed, cost) (6 Marks)  
iv) What is the use of cache memory? (2 Marks)",Essay,fill-in-the-blank question
Computer Organization and Architecture,BBIT/IT/FIT,"QUESTION 2  
i) Discuss any five (5) parameters which influence performance. (10 Marks)  
ii) Discuss speculative execution. (2 Marks)  
iii) Discuss the replacement algorithms.",Essay,fill-in-the-blank question

Probability and Statistics 1,MAT,"a) Differentiate between a statistic and a parameter (2 Marks)  
b) Differentiate between probability and non-probability sampling methods, giving examples. (3 Marks)  
c) Draw a back-to-back stem and leaf to compare the reaction time of boys and girls to a certain stimulus and compare the distributions. (4 Marks)  
d) The number of goals scored in 15 hockey matches is shown in the table:  
No. of goals: 1 2 3 4 5  
No. of matches: 2 1 5 3 4  
i. Estimate the mean, median and standard deviation. (6 Marks)  
ii. Estimate Bowley’s coefficient of skewness and interpret your result. (4 Marks)  
e) Suppose there are 40 transistors of which 8 are defective. If sampling without replacement is performed, what is the probability of picking 4 good transistors in the first 7 draws? (3 Marks)  
f) Find the regression coefficient of Y on X and of X on Y on the basis of the following: ΣX=50, ΣY=60, X̄=5, Ȳ=6, ΣXY=350, Var(X)=4, Var(Y)=9.",Essay,fill-in-the-blank question

